show_id,type,title,director,country
s139,Movie,Dear John,Lasse Hallström,United States
s140,Movie,Do the Right Thing,Spike Lee,United States
s141,Movie,"El patrón, radiografía de un crimen",Sebastián Schindel,Argentina
s142,Movie,Extraction,Steven C. Miller,United States
s143,Movie,Freedom Writers,Richard LaGravenese,Germany
s144,Movie,Green Lantern,Martin Campbell,United States
s145,Movie,House Party,Reginald Hudlin,United States
s146,Movie,House Party 2,"George Jackson, Doug McHenry",United States
s147,Movie,House Party 3,Eric Meza,United States
s1263,Movie,Ginny & Georgia - The Afterparty,Not Given,Pakistan
s150,Movie,I Got the Hook Up,Michael Martin,United States
s151,Movie,In Too Deep,Michael Rymer,United States
s152,Movie,Initial D,"Andrew Lau Wai-keung, Alan Mak",China
s1272,TV Show,The Last Bastion,Not Given,Pakistan
s1300,TV Show,Thus Spoke Kishibe Rohan,Not Given,Pakistan
s1443,TV Show,Korean Pork Belly Rhapsody,Not Given,Pakistan
s156,Movie,Labyrinth,Jim Henson,United Kingdom
s157,Movie,Letters to Juliet,Gary Winick,United States
s158,Movie,Level 16,Danishka Esterhazy,Canada
s159,Movie,Love Don't Cost a Thing,Troy Byer,United States
s160,Movie,Love in a Puff,Pang Ho-cheung,Hong Kong
s1463,TV Show,Running Man,Not Given,Pakistan
s162,Movie,Mars Attacks!,Tim Burton,United States
s163,Movie,Marshall,Reginald Hudlin,United States
s164,Movie,My Boss's Daughter,David Zucker,United States
s165,Movie,Mystery Men,Kinka Usher,United States
s1472,Movie,Best of Stand-Up 2020,Not Given,Pakistan
s167,Movie,Once Upon a Time in America,Sergio Leone,Italy
s168,Movie,Open Season 2,"Matthew O'Callaghan, Todd Wilderman",United States
s169,Movie,Osmosis Jones,"Bobby Farrelly, Peter Farrelly",United States
s170,Movie,Poseidon,Wolfgang Petersen,United States
s1483,TV Show,Transformers: War for Cybertron: Earthrise,Not Given,Pakistan
s1586,TV Show,Manhunt: Deadly Games,Not Given,Pakistan
s1597,TV Show,The Great British Baking Show: Holidays,Not Given,Pakistan
s1669,TV Show,Heart & Soul,Not Given,Pakistan
s1746,Movie,Ya no estoy aquí: Una conversación entre Guillermo del Toro y Alfonso Cuarón,Not Given,Pakistan
s1779,TV Show,Kongsuni and Friends,Not Given,Pakistan
s1890,TV Show,Pat a Pat Como,Not Given,Pakistan
s1891,TV Show,Qurious Como,Not Given,Pakistan
s2983,TV Show,Find Yourself,Not Given,Pakistan
s1915,TV Show,Journey of an African Colony,Not Given,Pakistan
s1953,TV Show,Mighty Little Bheem,Not Given,Pakistan
s171,Movie,Rhyme & Reason,Peter Spirer,United States
s172,Movie,Same Kind of Different as Me,Michael Carney,United States
s173,Movie,School of Rock,Richard Linklater,United States
s174,Movie,Snervous Tyler Oakley,Amy Rice,United States
s175,Movie,Tears of the Sun,Antoine Fuqua,United States
s176,Movie,The Blue Lagoon,Randal Kleiser,United States
s177,Movie,The Golden Child,Michael Ritchie,United States
s178,Movie,The Guns of Navarone,J. Lee Thompson,United Kingdom
s179,Movie,The Interview,"Evan Goldberg, Seth Rogen",United States
s180,Movie,The Nutty Professor,Tom Shadyac,United States
s181,Movie,The Nutty Professor II: The Klumps,Peter Segal,United States
s183,Movie,Welcome Home Roscoe Jenkins,Malcolm D. Lee,United States
s184,Movie,In the Line of Fire,Wolfgang Petersen,United States
s186,Movie,Untold: Crime & Penalties,"Chapman Way, Maclain Way",United States
s1957,Movie,Zulu Man in Japan,Not Given,Pakistan
s1974,TV Show,Fukrey Boyzzz,Not Given,Pakistan
s189,Movie,2 Alone in Paris,"Ramzy Bedia, Éric Judor",France
s2041,TV Show,Transformers: Cyberverse,Not Given,Pakistan
s2059,TV Show,The Witcher: A Look Inside the Episodes,Not Given,Pakistan
s2124,TV Show,Dérè: An African Tale,Not Given,Pakistan
s2223,TV Show,Street Food: Latin America,Not Given,Pakistan
s2237,Movie,Little Singham: Legend of Dugabakka,Not Given,Pakistan
s2336,Movie,Seven (Telugu),Not Given,Pakistan
s191,Movie,Thimmarusu,Sharan Koppisetty,India
s192,Movie,Wind River,Taylor Sheridan,United Kingdom
s193,Movie,C Kkompany,Sachin Yardi,India
s197,Movie,He's All That,Mark Waters,United States
s2395,TV Show,Dating Around,Not Given,Pakistan
s196,Movie,EMI: Liya Hai To Chukana Padega,Saurabh Kabra,India
s4655,TV Show,First and Last,Not Given,Pakistan
s199,TV Show,King of Boys: The Return of the King,Kemi Adetiba,Nigeria
s200,Movie,Koi Aap Sa,Partho Mitra,India
s201,Movie,Krishna Cottage,Santram Varma,India
s202,Movie,Kucch To Hai,"Anil V. Kumar, Anurag Basu",India
s203,Movie,Kyaa Kool Hai Hum,Sangeeth Sivan,India
s204,Movie,Kyaa Kool Hain Hum 3,Umesh Ghadge,India
s205,Movie,Kyaa Super Kool Hain Hum,Sachin Yardi,India
s206,Movie,Kyo Kii... Main Jhuth Nahin Bolta,David Dhawan,India
s207,Movie,"LSD: Love, Sex Aur Dhokha",Dibakar Banerjee,India
s208,Movie,Mission Istaanbul: Darr Ke Aagey Jeet Hai,Apoorva Lakhia,India
s209,Movie,Once Upon a Time in Mumbaai,Milan Luthria,India
s2496,TV Show,Especial 20 años Fútbol de Primera,Not Given,Pakistan
s2569,TV Show,Hangar 1: The UFO Files,Not Given,Pakistan
s2570,TV Show,Hoarders,Not Given,Pakistan
s2575,TV Show,The Universe: Ancient Mysteries Solved,Not Given,Pakistan
s2640,TV Show,دفعة القاهرة,Not Given,Pakistan
s2642,TV Show,DreamWorks Spooky Stories: Volume 2,Not Given,Pakistan
s210,Movie,Once Upon a Time in Mumbai Dobaara!,Milan Luthria,India
s211,Movie,Ragini MMS,Pawan Kripalani,India
s212,Movie,Ragini MMS 2,Bhushan Patel,India
s223,TV Show,Clickbait,Brad Anderson,United States
s2700,TV Show,The Circle France,Not Given,Pakistan
s216,Movie,Shootout at Lokhandwala,Apoorva Lakhia,India
s217,Movie,Shor In the City,"Raj Nidimoru, Krishna D.K.",India
s218,Movie,The Dirty Picture,Milan Luthria,India
s2740,TV Show,Pokémon the Series,Not Given,Pakistan
s2773,TV Show,Wassup Man GO!,Not Given,Pakistan
s2786,TV Show,Barbie Dreamhouse Adventures: Go Team Roberts,Not Given,Pakistan
s2788,TV Show,Archibald's Next Big Thing,Not Given,Pakistan
