show_id,date_added,release_year,rating,duration,listed_in
s911,05/07/2021,2021,TV-MA,99 min,Dramas
s912,05/07/2021,2017,TV-Y7,2 Seasons,"Kids' TV, TV Comedies"
s914,05/07/2021,2020,TV-PG,107 min,"Dramas, International Movies, Romantic Movies"
s915,05/07/2021,2017,TV-MA,97 min,Documentaries
s916,05/06/2021,2020,TV-MA,112 min,"Dramas, International Movies, Thrillers"
s901,05/11/2021,2021,TV-14,1 Season,Docuseries
s917,05/06/2021,2013,R,118 min,Action & Adventure
s918,05/05/2021,2019,TV-MA,109 min,"Documentaries, Dramas"
s930,05/01/2021,2017,R,99 min,"Action & Adventure, Horror Movies"
s920,05/05/2021,2021,TV-MA,1 Season,"Crime TV Shows, Docuseries"
s923,05/04/2021,2018,TV-MA,109 min,"Dramas, Independent Movies, Thrillers"
s925,05/01/2021,2020,PG,88 min,"Children & Family Movies, Comedies"
s927,05/01/2021,2006,R,97 min,"Action & Adventure, Dramas"
s929,05/01/2021,1989,PG-13,97 min,"Action & Adventure, Sports Movies"
s931,05/01/2021,2010,R,95 min,"Action & Adventure, Comedies"
s932,05/01/2021,2005,PG-13,91 min,Comedies
s933,05/01/2021,2010,R,115 min,Action & Adventure
s934,05/01/2021,2009,G,93 min,"Children & Family Movies, Dramas"
s935,05/01/2021,2018,R,109 min,"Dramas, Independent Movies"
s936,05/01/2021,2012,PG,96 min,"Children & Family Movies, Comedies"
s943,05/01/2021,2003,R,138 min,"Dramas, Thrillers"
s944,05/01/2021,2008,PG-13,113 min,"Action & Adventure, Dramas, Sports Movies"
s945,05/01/2021,2018,TV-MA,94 min,Action & Adventure
s946,05/01/2021,2020,TV-MA,89 min,"Dramas, International Movies"
s947,05/01/2021,1994,PG-13,121 min,"Action & Adventure, Sci-Fi & Fantasy"
s948,05/01/2021,2009,PG-13,127 min,"Dramas, Thrillers"
s949,05/01/2021,2018,TV-14,94 min,Comedies
s950,05/01/2021,2011,PG-13,89 min,"Action & Adventure, Sci-Fi & Fantasy"
s951,05/01/2021,2009,PG-13,136 min,"Dramas, International Movies, Sci-Fi & Fantasy"
s952,05/01/2021,2002,R,89 min,"Comedies, Romantic Movies"
s953,05/01/2021,2000,R,99 min,"Action & Adventure, Comedies"
s954,05/01/2021,2016,R,93 min,"Dramas, Thrillers"
s955,05/01/2021,2018,TV-PG,85 min,"Children & Family Movies, Comedies"
s956,05/01/2021,1992,R,102 min,Action & Adventure
s938,05/01/2021,2017,TV-Y7,78 min,"Children & Family Movies, Comedies"
s957,05/01/2021,2008,R,101 min,"Comedies, Independent Movies, Romantic Movies"
s960,4/30/2021,2021,TV-MA,128 min,"Dramas, Independent Movies, International Movies"
s963,4/30/2021,2018,R,85 min,Horror Movies
s961,4/30/2021,2021,TV-MA,1 Season,"Crime TV Shows, International TV Shows, Spanish-Language TV Shows"
s967,4/28/2021,2021,TV-MA,95 min,"Comedies, International Movies"
s970,4/27/2021,2014,R,121 min,Dramas
s971,4/27/2021,2011,PG-13,116 min,"Action & Adventure, Sci-Fi & Fantasy"
s972,4/27/2021,2018,R,91 min,Thrillers
s974,4/27/2021,2020,TV-PG,149 min,"Dramas, International Movies"
s962,4/30/2021,2021,PG,114 min,"Children & Family Movies, Comedies"
s965,4/29/2021,2021,TV-MA,121 min,"Horror Movies, Thrillers"
s959,4/30/2021,2019,TV-14,113 min,"Dramas, International Movies"
s975,4/24/2021,2019,TV-14,113 min,"Dramas, Independent Movies, International Movies"
s988,4/23/2021,2019,TV-MA,103 min,"Comedies, International Movies"
s977,4/23/2021,2017,TV-14,127 min,"Comedies, International Movies"
s978,4/23/2021,2016,TV-14,101 min,"Comedies, International Movies"
s979,4/23/2021,2014,TV-MA,102 min,"Comedies, International Movies, Romantic Movies"
s980,4/23/2021,2013,TV-MA,102 min,"Comedies, International Movies"
s981,4/23/2021,2015,TV-MA,107 min,"Comedies, International Movies"
s982,4/23/2021,2004,TV-MA,123 min,"Action & Adventure, Comedies, International Movies"
s983,4/23/2021,2015,TV-14,98 min,"Comedies, Dramas, International Movies"
s984,4/23/2021,2021,TV-MA,95 min,"Documentaries, International Movies, Music & Musicals"
s985,4/23/2021,2015,TV-MA,101 min,"Comedies, International Movies"
s986,4/23/2021,2015,TV-MA,104 min,"Comedies, International Movies, Romantic Movies"
s987,4/23/2021,2016,TV-14,104 min,"Comedies, International Movies, Romantic Movies"
s989,4/23/2021,2021,TV-14,1 Season,"International TV Shows, Romantic TV Shows, TV Comedies"
s990,4/23/2021,2017,TV-MA,111 min,"Comedies, International Movies"
s991,4/23/2021,2015,TV-MA,102 min,"Comedies, International Movies"
s992,4/23/2021,2020,TV-G,15 min,"Dramas, Independent Movies, International Movies"
s993,4/23/2021,2020,TV-G,54 min,"International Movies, Music & Musicals"
s1001,4/22/2021,2020,TV-MA,126 min,"Action & Adventure, International Movies"
s995,4/23/2021,2020,TV-14,120 min,"Dramas, International Movies, Romantic Movies"
s996,4/23/2021,2001,TV-MA,106 min,"Comedies, Dramas, International Movies"
s997,4/22/2021,2021,TV-MA,116 min,"Horror Movies, International Movies, Thrillers"
s1007,4/20/2021,2018,TV-Y7,80 min,"Children & Family Movies, Comedies"
s1008,4/20/2021,2017,TV-Y,81 min,"Children & Family Movies, Comedies"
s1000,4/22/2021,2021,TV-MA,116 min,"Dramas, International Movies, Thrillers"
s1002,4/21/2021,2015,TV-14,86 min,"Dramas, International Movies, Thrillers"
s1003,4/21/2021,2021,TV-MA,97 min,"Comedies, International Movies"
s1009,4/20/2021,2019,TV-Y,84 min,Children & Family Movies
s1010,4/20/2021,2020,TV-Y7,87 min,Children & Family Movies
s1014,4/19/2021,2016,R,132 min,Thrillers
s999,4/22/2021,2021,TV-14,58 min,"Documentaries, International Movies"
s1016,4/17/2021,1992,R,126 min,Dramas
s1017,4/17/2021,2011,TV-MA,101 min,"Action & Adventure, Comedies, International Movies"
s1018,4/17/2021,2010,TV-MA,102 min,"Dramas, International Movies"
s1019,4/17/2021,2008,TV-14,147 min,"Comedies, International Movies, Music & Musicals"
s1020,4/17/2021,2001,PG,224 min,"Dramas, International Movies, Music & Musicals"
s1021,4/17/2021,2004,TV-14,141 min,"Documentaries, International Movies"
s1022,4/17/2021,2010,TV-MA,109 min,"Comedies, Dramas, Independent Movies"
s1023,4/17/2021,2007,PG,162 min,"Dramas, International Movies"
s1024,4/16/2021,2021,TV-MA,142 min,"Dramas, Independent Movies, International Movies"
s1025,4/16/2021,2021,TV-Y7,93 min,"Children & Family Movies, Comedies, Music & Musicals"
s1027,4/16/2021,2021,TV-Y,60 min,Children & Family Movies
s1028,4/16/2021,2015,R,119 min,"Horror Movies, Romantic Movies, Sci-Fi & Fantasy"
s1030,4/16/2021,2013,TV-MA,96 min,"Dramas, International Movies"
s1031,4/16/2021,2020,TV-MA,116 min,"Children & Family Movies, Comedies, Dramas"
s1032,4/16/2021,2020,TV-14,102 min,"Dramas, International Movies, Romantic Movies"
s1034,4/16/2021,2013,R,123 min,"Action & Adventure, Dramas, International Movies"
s1035,4/16/2021,2020,R,102 min,Thrillers
s1036,4/16/2021,2017,PG-13,127 min,Dramas
s1037,4/16/2021,2017,TV-14,88 min,"Action & Adventure, Sci-Fi & Fantasy"
s1038,4/16/2021,2021,TV-14,106 min,"Comedies, Dramas, International Movies"
s1040,4/15/2021,2020,TV-MA,65 min,"Documentaries, Music & Musicals"
s1042,4/15/2021,2016,TV-MA,96 min,"Action & Adventure, Anime Features, Horror Movies"
s1043,4/15/2021,2019,TV-PG,1 Season,Docuseries
s1047,4/15/2021,2019,TV-14,88 min,Thrillers
s1051,4/15/2021,2021,TV-MA,143 min,"Dramas, International Movies, LGBTQ Movies"
s1053,4/15/2021,2012,R,137 min,"Dramas, Independent Movies"
s1054,4/15/2021,2014,TV-MA,75 min,"Documentaries, Music & Musicals"
s1056,4/15/2021,1981,R,103 min,"Cult Movies, Dramas, Music & Musicals"
s1067,4/14/2021,2021,TV-MA,130 min,"Dramas, International Movies, Thrillers"
s1068,4/14/2021,2020,TV-MA,1 Season,"International TV Shows, TV Dramas, Teen TV Shows"
s1055,4/15/2021,2020,TV-14,71 min,"Documentaries, International Movies, Music & Musicals"
s1070,4/14/2021,2020,TV-14,145 min,"Dramas, International Movies, Romantic Movies"
s1076,4/13/2021,2021,TV-PG,1 Season,Docuseries
s1072,4/13/2021,2017,TV-Y7,84 min,"Children & Family Movies, Music & Musicals"
s1081,04/12/2021,2021,TV-14,118 min,"Action & Adventure, Anime Features, International Movies"
s1073,4/13/2021,2018,TV-Y7,77 min,"Children & Family Movies, Comedies, Music & Musicals"
s1074,4/13/2021,2018,TV-Y7,86 min,"Children & Family Movies, Music & Musicals"
s1084,04/10/2021,2020,R,102 min,Comedies
s1075,4/13/2021,2019,TV-Y7,79 min,Children & Family Movies
s1086,04/09/2021,2021,TV-MA,132 min,"Dramas, International Movies"
s1087,04/09/2021,2016,TV-MA,108 min,"Dramas, International Movies, Thrillers"
s1088,04/09/2021,2021,TV-14,133 min,"Comedies, Horror Movies, International Movies"
s1089,04/09/2021,2021,PG-13,107 min,"Action & Adventure, Comedies"
s1090,04/09/2021,2021,TV-MA,32 min,Dramas
s1091,04/08/2021,2020,TV-PG,78 min,"Dramas, International Movies, Romantic Movies"
s1077,4/13/2021,2018,TV-Y7,80 min,Children & Family Movies
s1078,4/13/2021,2019,TV-Y7,81 min,Children & Family Movies
s1079,4/13/2021,2017,TV-Y,78 min,Children & Family Movies
s1097,04/06/2021,2021,TV-Y7,92 min,"Children & Family Movies, Comedies"
s1098,04/05/2021,2020,TV-MA,86 min,Documentaries
s1099,04/05/2021,2021,TV-14,140 min,"Comedies, Dramas, International Movies"
s1100,04/04/2021,2020,TV-MA,143 min,"Dramas, International Movies"
s1101,04/04/2021,2020,TV-MA,88 min,"Horror Movies, Thrillers"
s1102,04/03/2021,2013,PG,89 min,"Children & Family Movies, Comedies, Sci-Fi & Fantasy"
s1103,04/02/2021,2006,PG-13,93 min,Comedies
s1104,04/02/2021,2018,R,97 min,"Action & Adventure, Dramas, International Movies"
s1105,04/02/2021,2012,TV-Y,94 min,"Children & Family Movies, Comedies, Dramas"
s1106,04/02/2021,2021,R,112 min,"Dramas, Independent Movies"
s1107,04/02/2021,2019,R,100 min,Action & Adventure
s1108,04/02/2021,2018,TV-MA,120 min,"Dramas, Faith & Spirituality, International Movies"
s1109,04/02/2021,2021,TV-MA,91 min,"International Movies, Thrillers"
s1110,04/02/2021,2021,TV-MA,98 min,"Comedies, International Movies, Romantic Movies"
s1111,04/02/2021,2021,TV-MA,113 min,"Dramas, International Movies"
s1112,04/02/2021,2008,PG-13,98 min,"Comedies, Romantic Movies"
